Dates,"Tableau Software, Inc. (NYSE:DATA) - Share Pricing"
Aug-04-2016,52.73
Aug-05-2016,53.71
Aug-08-2016,53.19
Aug-09-2016,52.95
Aug-10-2016,52.82
Aug-11-2016,53.73
Aug-12-2016,53.85
Aug-15-2016,54.63
Aug-16-2016,54.25
Aug-17-2016,53.84
Aug-18-2016,54.47
Aug-19-2016,55.25
Aug-22-2016,54.87
Aug-23-2016,62.22
Aug-24-2016,60.49
Aug-25-2016,59.79
Aug-26-2016,59.27
Aug-29-2016,59.33
Aug-30-2016,58.91
Aug-31-2016,58.03
Sep-01-2016,58.03
Sep-02-2016,58.46
Sep-06-2016,58.70
Sep-07-2016,58.34
Sep-08-2016,57.40
Sep-09-2016,57.55
Sep-12-2016,57.08
Sep-13-2016,55.50
Sep-14-2016,55.38
Sep-15-2016,55.16
Sep-16-2016,54.87
Sep-19-2016,54.18
Sep-20-2016,53.31
Sep-21-2016,53.81
Sep-22-2016,54.48
Sep-23-2016,54.41
Sep-26-2016,53.96
Sep-27-2016,54.81
Sep-28-2016,55.88
Sep-29-2016,54.74
Sep-30-2016,55.27
Oct-03-2016,56.02
Oct-04-2016,55.71
Oct-05-2016,53.78
Oct-06-2016,51.63
Oct-07-2016,50.41
Oct-10-2016,50.83
Oct-11-2016,49.94
Oct-12-2016,49.35
Oct-13-2016,48.93
Oct-14-2016,48.03
Oct-17-2016,47.20
Oct-18-2016,47.23
Oct-19-2016,48.91
Oct-20-2016,49.02
Oct-21-2016,48.25
Oct-24-2016,48.90
Oct-25-2016,47.87
Oct-26-2016,48.11
Oct-27-2016,47.64
Oct-28-2016,47.82
Oct-31-2016,48.05
Nov-01-2016,49.51
Nov-02-2016,43.51
Nov-03-2016,43.59
Nov-04-2016,44.70
Nov-07-2016,45.65
Nov-08-2016,46.20
Nov-09-2016,46.98
Nov-10-2016,47.32
Nov-11-2016,47.41
Nov-14-2016,46.00
Nov-15-2016,46.55
Nov-16-2016,45.95
Nov-17-2016,47.20
Nov-18-2016,46.47
Nov-21-2016,47.25
Nov-22-2016,47.43
Nov-23-2016,46.86
Nov-25-2016,47.02
Nov-28-2016,45.72
Nov-29-2016,45.37
Nov-30-2016,44.88
Dec-01-2016,44.18
Dec-02-2016,44.34
Dec-05-2016,45.42
Dec-06-2016,45.36
Dec-07-2016,45.57
Dec-08-2016,45.65
Dec-09-2016,45.95
Dec-12-2016,44.84
Dec-13-2016,45.00
Dec-14-2016,43.99
Dec-15-2016,44.22
Dec-16-2016,44.02
Dec-19-2016,43.09
Dec-20-2016,42.66
Dec-21-2016,42.35
Dec-22-2016,41.67
Dec-23-2016,42.12
Dec-27-2016,42.71
Dec-28-2016,41.84
Dec-29-2016,41.68
Dec-30-2016,42.15
Jan-03-2017,43.32
Jan-04-2017,45.06
Jan-05-2017,44.81
Jan-06-2017,44.98
Jan-09-2017,45.24
Jan-10-2017,45.19
Jan-11-2017,45.20
Jan-12-2017,44.77
Jan-13-2017,45.06
Jan-17-2017,44.25
Jan-18-2017,44.50
Jan-19-2017,44.83
Jan-20-2017,44.90
Jan-23-2017,44.71
Jan-24-2017,46.45
Jan-25-2017,47.84
Jan-26-2017,48.21
Jan-27-2017,48.14
Jan-30-2017,47.73
Jan-31-2017,47.84
Feb-01-2017,48.46
Feb-02-2017,48.21
Feb-03-2017,55.28
Feb-06-2017,54.12
Feb-07-2017,53.58
Feb-08-2017,53.94
Feb-09-2017,54.00
Feb-10-2017,53.76
Feb-13-2017,53.81
Feb-14-2017,54.08
Feb-15-2017,55.01
Feb-16-2017,54.06
Feb-17-2017,54.62
Feb-21-2017,55.12
Feb-22-2017,54.03
Feb-23-2017,53.37
Feb-24-2017,53.26
Feb-27-2017,53.58
Feb-28-2017,52.74
Mar-01-2017,53.28
Mar-02-2017,51.99
Mar-03-2017,52.14
Mar-06-2017,51.02
Mar-07-2017,50.16
Mar-08-2017,49.84
Mar-09-2017,49.45
Mar-10-2017,48.83
Mar-13-2017,48.94
Mar-14-2017,49.09
Mar-15-2017,49.42
Mar-16-2017,49.46
Mar-17-2017,49.10
Mar-20-2017,49.02
Mar-21-2017,47.60
Mar-22-2017,48.11
Mar-23-2017,47.82
Mar-24-2017,48.41
