Dates,"Amazon.com, Inc. (NasdaqGS:AMZN) - Share Pricing"
May-01-2002,16.49
May-02-2002,16.32
May-03-2002,16.05
May-06-2002,16.12
May-07-2002,16.11
May-08-2002,17.32
May-09-2002,17.73
May-10-2002,16.94
May-13-2002,17.32
May-14-2002,18.81
May-15-2002,19.94
May-16-2002,19.61
May-17-2002,19.16
May-20-2002,19.39
May-21-2002,18.76
May-22-2002,18.75
May-23-2002,19.45
May-24-2002,19.47
May-28-2002,19.06
May-29-2002,18.91
May-30-2002,18.37
May-31-2002,18.23
Jun-03-2002,17.96
Jun-04-2002,17.97
Jun-05-2002,17.99
Jun-06-2002,18.17
Jun-07-2002,18.58
Jun-10-2002,17.30
Jun-11-2002,17.14
Jun-12-2002,17.08
Jun-13-2002,17.43
Jun-14-2002,16.82
Jun-17-2002,18.41
Jun-18-2002,18.78
Jun-19-2002,18.30
Jun-20-2002,17.55
Jun-21-2002,17.53
Jun-24-2002,17.51
Jun-25-2002,15.34
Jun-26-2002,15.85
Jun-27-2002,15.86
Jun-28-2002,16.25
Jul-01-2002,13.55
Jul-02-2002,13.32
Jul-03-2002,14.25
Jul-05-2002,15.21
Jul-08-2002,14.94
Jul-09-2002,15.60
Jul-10-2002,14.96
Jul-11-2002,15.55
Jul-12-2002,15.43
Jul-15-2002,15.94
Jul-16-2002,16.29
Jul-17-2002,16.16
Jul-18-2002,15.55
Jul-19-2002,15.29
Jul-22-2002,15.50
Jul-23-2002,14.55
Jul-24-2002,14.10
Jul-25-2002,12.49
Jul-26-2002,12.93
Jul-29-2002,14.33
Jul-30-2002,14.77
Jul-31-2002,14.46
Aug-01-2002,14.16
Aug-02-2002,13.84
Aug-05-2002,12.87
Aug-06-2002,13.74
Aug-07-2002,13.60
Aug-08-2002,13.90
Aug-09-2002,14.26
Aug-12-2002,14.46
Aug-13-2002,13.93
Aug-14-2002,13.91
Aug-15-2002,14.62
Aug-16-2002,14.90
Aug-19-2002,15.50
Aug-20-2002,15.92
Aug-21-2002,15.38
Aug-22-2002,15.73
Aug-23-2002,15.17
Aug-26-2002,14.93
Aug-27-2002,14.52
Aug-28-2002,14.57
Aug-29-2002,15.17
Aug-30-2002,14.94
Sep-03-2002,14.60
Sep-04-2002,14.83
Sep-05-2002,14.25
Sep-06-2002,15.31
Sep-09-2002,16.51
Sep-10-2002,17.13
Sep-11-2002,17.11
Sep-12-2002,16.75
Sep-13-2002,16.61
Sep-16-2002,16.71
Sep-17-2002,17.35
Sep-18-2002,17.73
Sep-19-2002,17.21
Sep-20-2002,15.86
Sep-23-2002,16.05
Sep-24-2002,15.93
Sep-25-2002,15.73
Sep-26-2002,17.15
Sep-27-2002,17.01
Sep-30-2002,15.93
Oct-01-2002,16.95
Oct-02-2002,17.01
Oct-03-2002,16.75
Oct-04-2002,16.55
Oct-07-2002,16.64
Oct-08-2002,16.94
Oct-09-2002,16.86
Oct-10-2002,17.96
Oct-11-2002,18.46
Oct-14-2002,19.20
Oct-15-2002,18.94
Oct-16-2002,19.49
Oct-17-2002,18.74
Oct-18-2002,19.04
Oct-21-2002,19.26
Oct-22-2002,19.38
Oct-23-2002,19.75
Oct-24-2002,19.86
Oct-25-2002,19.30
Oct-28-2002,18.59
Oct-29-2002,18.57
Oct-30-2002,19.08
Oct-31-2002,19.36
Nov-01-2002,19.80
Nov-04-2002,18.78
Nov-05-2002,18.72
Nov-06-2002,19.34
Nov-07-2002,19.12
Nov-08-2002,19.51
Nov-11-2002,19.00
Nov-12-2002,19.82
Nov-13-2002,20.41
Nov-14-2002,21.21
Nov-15-2002,22.21
Nov-18-2002,22.42
Nov-19-2002,21.29
Nov-20-2002,22.90
Nov-21-2002,23.40
Nov-22-2002,23.99
Nov-25-2002,24.25
Nov-26-2002,23.40
Nov-27-2002,24.08
Nov-29-2002,23.35
Dec-02-2002,24.11
Dec-03-2002,23.74
Dec-04-2002,23.39
Dec-05-2002,22.58
Dec-06-2002,22.61
Dec-09-2002,21.68
Dec-10-2002,21.86
Dec-11-2002,22.13
Dec-12-2002,22.30
Dec-13-2002,22.18
Dec-16-2002,22.51
Dec-17-2002,22.46
Dec-18-2002,22.10
Dec-19-2002,21.69
Dec-20-2002,21.93
Dec-23-2002,22.24
Dec-24-2002,21.88
Dec-26-2002,20.30
Dec-27-2002,18.86
Dec-30-2002,19.25
Dec-31-2002,18.89
Jan-02-2003,19.57
Jan-03-2003,20.52
Jan-06-2003,20.70
Jan-07-2003,21.55
Jan-08-2003,21.02
Jan-09-2003,21.45
Jan-10-2003,21.32
Jan-13-2003,22.04
Jan-14-2003,22.74
Jan-15-2003,22.27
Jan-16-2003,21.80
Jan-17-2003,21.40
Jan-21-2003,21.08
Jan-22-2003,21.17
Jan-23-2003,21.79
Jan-24-2003,22.11
Jan-27-2003,21.78
Jan-28-2003,21.62
Jan-29-2003,22.08
Jan-30-2003,21.82
Jan-31-2003,21.85
Feb-03-2003,22.16
Feb-04-2003,22.05
Feb-05-2003,22.17
Feb-06-2003,22.09
Feb-07-2003,21.44
Feb-10-2003,21.40
Feb-11-2003,20.78
Feb-12-2003,21.13
Feb-13-2003,20.06
Feb-14-2003,20.06
Feb-18-2003,21.39
Feb-19-2003,21.19
Feb-20-2003,21.36
Feb-21-2003,21.78
Feb-24-2003,21.78
Feb-25-2003,21.88
Feb-26-2003,21.64
Feb-27-2003,21.62
Feb-28-2003,22.01
Mar-03-2003,21.81
Mar-04-2003,22.27
Mar-05-2003,22.42
Mar-06-2003,22.69
Mar-07-2003,22.97
Mar-10-2003,22.88
Mar-11-2003,22.78
Mar-12-2003,23.36
Mar-13-2003,24.42
Mar-14-2003,24.71
Mar-17-2003,26.55
Mar-18-2003,26.78
Mar-19-2003,26.54
Mar-20-2003,27.45
Mar-21-2003,27.93
Mar-24-2003,26.23
Mar-25-2003,26.90
Mar-26-2003,27.76
Mar-27-2003,27.77
Mar-28-2003,27.18
Mar-31-2003,26.03
Apr-01-2003,25.54
Apr-02-2003,26.38
Apr-03-2003,26.65
Apr-04-2003,26.22
Apr-07-2003,26.82
